,2002-06-10,2003-06-10,2004-06-10,2005-06-10,2006-06-10,2007-06-10,2008-06-10,2009-06-10,2010-06-10,2011-06-10,2012-06-10,2013-06-10,2014-06-10,2015-06-10,2016-06-10,
pe,40.6390315395,30.3065356616,28.7905152033,25.1926649362,7.4441607308,23.3100430831,21.2021025684,16.1164895559,17.9710730716,17.1992579603,15.7453659398,6.21376513907,22.9981625145,19.6326138314,21.0230291323,
cap,143601.296018,146869.361806,186957.067953,200245.967145,219865.053982,259320.614777,225144.241565,156732.916366,206342.620686,256926.97545,266907.468677,333044.987386,427764.497251,532454.290848,519133.280485,
pe,52.6443231218,36.4243957031,35.0629671192,28.1215407884,25.9357271889,28.0306206747,24.2251775501,19.7361189311,19.5886764342,17.8596324392,16.4690126131,17.8942034192,24.8047909268,21.6165513344,22.9183910712,
cap,101253.14034,105264.98466,129488.93496,138413.64768,147449.18562,174169.55556,156228.74388,109609.61352,140757.87924,170142.65268,191563.85886,235377.05004,303943.7148,390460.9962,384800.2488,
